# source=RotorDin Fortran direct source tree sha256 1f8077d8444593a7e5b17a482d20c27d9298bef38389c86ca2c88c285f61dca0
# command=rotordin -std -f -b
# response_contract=UNBIF 1200 rpm; UNBFF 7200 rpm; UNBFD 400; UNBMD 10
# generation=legacy Project serialization kept TABLE/support/geometry unchanged; only UNBIF/UNBFF restored to original INI intent after serializer range override
# full_graph_points=402; this golden set is deterministic decimation plus resonance neighborhoods
# probes=467.8mm coord1 45deg; 467.8mm coord2 45deg; 2202.2mm coord1 45deg; 2202.2mm coord2 45deg
rpm,amp_p1_m,amp_p2_m,amp_p3_m,amp_p4_m,phase_p1_rad,phase_p2_rad,phase_p3_rad,phase_p4_rad
1200,0.9201552494,0.8122792236,0.7895772131,0.67019614,4.512462139,1.366778135,4.599096298,1.438142538
1349.626465,1.244434577,1.089494691,1.115719588,0.9527685045,4.469491959,1.341158509,4.535423756,1.398249269
1499.25293,1.48258328,1.235641214,1.55792042,1.351606631,4.484073639,1.366036415,4.470699787,1.357492566
1648.879395,1.843840525,1.480441802,2.117648813,1.848393315,4.478944302,1.387056231,4.41135025,1.321047425
1798.505859,2.367979219,1.861723487,2.802503171,2.435367146,4.447799206,1.391243458,4.356200218,1.288753271
1948.132324,3.133166754,2.49303478,3.48917944,2.960051335,4.368795395,1.346972108,4.317105293,1.274079442
2097.758789,4.200072616,3.387859397,4.458790951,3.709843447,4.269179344,1.286463499,4.257102013,1.248000026
2247.385254,5.741542453,4.698547838,5.89714268,4.853354593,4.137488365,1.200280786,4.158548355,1.192858219
2397.011719,8.029924983,6.695812118,8.021974392,6.616991592,3.946292162,1.061870098,3.993624449,1.081584573
2546.638184,11.37405372,9.702201914,11.15722002,9.325046529,3.647623539,0.826028347,3.713892937,0.8649205565
2696.264648,15.07489604,13.23841291,14.64691646,12.55393894,3.179344893,0.4340475202,3.257491589,0.4827016592
2756.115234,15.90666152,14.20881981,15.35709186,13.38154138,2.935213804,0.2255526185,3.017734528,0.2768263817
2771.077881,15.99131964,14.35476813,15.40614234,13.489843,2.871266127,0.1710433662,2.954880714,0.2229326963
2786.040527,16.02472251,14.45594451,15.40865906,13.55905266,2.808152199,0.1175559759,2.892726898,0.1699201316
2801.003174,16.0091148,14.5138081,15.36714356,13.59082956,2.746172428,0.06539782882,2.831577301,0.118097201
2815.96582,15.94783365,14.53085799,15.28509622,13.58774212,2.685584784,0.01483443566,2.771694899,0.06773138046
2830.928467,15.84504613,14.510399,15.16672758,13.55303823,2.626603127,6.249272346,2.713297129,0.01904536784
2845.891113,15.70547885,14.45631156,15.01670056,13.49042285,2.569392681,6.202514648,2.656555176,6.255400658
2995.517578,13.28108911,12.9329309,12.71680446,12.12197195,2.10250926,5.854265213,2.189719439,5.899960518
3145.144043,10.75987203,11.28638879,10.54588267,10.85038873,1.777005315,5.682077885,1.864755392,5.713972092
3294.770508,8.501023269,9.906873359,9.322725228,10.54432603,1.498177052,5.619639397,1.646312594,5.643863201
3444.396973,6.979164176,9.39912741,7.833701796,10.70237641,1.137279749,5.577226639,1.43223238,5.638013363
3594.023438,6.482198644,10.0559236,5.956547144,11.90833774,0.6087843776,5.518176556,1.109317422,5.64858532
3743.649902,7.998368814,11.87689577,3.635114845,15.68924092,6.045948029,5.356769562,0.4142246246,5.57787466
3863.351074,11.99986879,13.83385872,2.916376021,21.06713592,5.17172718,5.018571854,4.792570114,5.309718609
3878.313721,12.5743295,13.95619746,3.326588887,21.67246389,5.050314903,4.957142353,4.526170731,5.254520893
3893.276367,13.11400532,14.00727444,3.828326528,22.18513374,4.926704884,4.892091274,4.294113636,5.194880009
3908.239014,13.5969635,13.97405806,4.386164765,22.57632075,4.801595211,4.824237823,4.091108322,5.131546021
3923.20166,14.0025649,13.8475547,4.96773501,22.82152277,4.675936222,4.754663944,3.910899401,5.065536499
3938.164307,14.31408647,13.62466973,5.544846257,22.90428878,4.550879955,4.684654713,3.748533964,4.9980793
3953.126953,14.5210946,13.30915837,6.094215876,22.81900897,4.42766571,4.615589142,3.600639582,4.930503368
3968.0896,14.62066101,12.91145038,6.598047687,22.57180991,4.307528496,4.548830032,3.465123177,4.864129543
3983.052246,14.61730802,12.4471086,7.044580383,22.17925595,4.191552639,4.485591412,3.340691328,4.800137997
3998.014893,14.52159318,11.93461439,7.427880531,21.66535547,4.080599785,4.426855087,3.226504803,4.739487171
4042.902832,13.83129914,10.29038628,8.207138996,19.6717051,3.782572746,4.283334732,2.939438581,4.583190918
4117.71582,11.95868891,8.151298947,8.655347157,15.87294232,3.385961533,4.169579506,2.64304328,4.409164429
4132.678223,11.54665843,7.878611669,8.678181391,15.12517009,3.316453457,4.162927628,2.607738495,4.38505888
4147.640625,11.15884511,7.624113549,8.685182512,14.42144173,3.250818014,4.158215046,2.574923992,4.364029884
4162.603027,10.7949131,7.387097391,8.679513018,13.76137531,3.188806295,4.155162811,2.544389486,4.345822334
4177.56543,10.45404266,7.166616759,8.663810448,13.14377105,3.130177975,4.153520107,2.515933752,4.330196857
