quantity,studio_max_abs,ross_direct_max_abs,max_absolute_error,relative_infinity_error,rtol,atol,status
M,10.675516219123459,10.675516219123459,0.0,0.0,1e-12,1e-10,PASS
K,4877322594.6981535,4877322594.6981535,0.0,0.0,1e-12,1e-10,PASS
C,234.0,234.0,0.0,0.0,1e-12,1e-10,PASS
G,0.10005124134033744,0.10005124134033744,0.0,0.0,1e-12,1e-10,PASS
mass,15.548838024402972,15.548838024402972,0.0,0.0,1e-12,1e-12,PASS
node_positions,0.6,0.6,0.0,0.0,1e-14,1e-15,PASS
natural_frequencies,4907.538253700934,4907.538253700934,0.0,0.0,1e-07,1e-07,PASS
modal_MAC,1.0000000000000007,1.0,6.661338147750939e-16,6.661338147750939e-16,1e-07,1e-09,PASS
unbalance,3.912788957785407e-06,3.912788957785407e-06,0.0,0.0,1e-07,1e-13,PASS
critical_speed,606.8143801761076,606.8143801761076,0.0,0.0,1e-06,1e-06,PASS
